[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 单位简称 | 发表论文 | 办公地址 | 营收规模(万人民币) | 行业新闻 | 关键研发人员 | 主研装置 | 荣誉奖励 | 软著 | 网站主页 | 对接人 | 参研装置 | 发布代码 | 研发方向 | 单位角色 | 发表专利 | 人员数量 | 签订服务合同 | 单位类型 | 单位简介 | 上级单位 | 全名 | 需求 | 融资进度 | 所在地区 | 联系邮箱 | 成立时间 | 签订供应合同合同 | 最新估值/市值 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvk9ZlAlPXGw | 瞬原科技 |  | 北京市海淀区北四环西路56号辉煌时代大厦905室 | 0 | [{"id":"recvlCQP7hFYHK"}] |  |  |  |  |  | [{"id":"ou_dda2795e99aa474ede35f42fd66fbfce","name":"杨明"}] |  |  | 聚变物理模拟 | ["自身"] |  | 20 |  | ["民营企业"] |  |  | 北京瞬原科技有限公司 |  | [{"id":"recvlCQLnGEDRv"}] | ["中国"] |  | 2026-04-28 00:00:00 |  | 750000000 |
| recvk9ZmAn8uc6 | CFS |  | Devens, Massachusetts, USA |  | [{"id":"recvk9U8egKW4r"},{"id":"recvk9U8egoXqq"},{"id":"recvk9U8egMQGM"},{"id":"recvk9U8egoZDE"},{"id":"recvk9U8egtjk4"},{"id":"recvk9U8egPdev"}] | [{"id":"recvjRRR09asgg"},{"id":"recvkiVxycvCVI"},{"id":"recvkiVxyczQGx"}] | [{"id":"recvk1SGzPzO4o"}] | [{"id":"recvjTn2LK2ZpM"}] |  | [https://cfs.energy](https://cfs.energy/) |  |  | [{"id":"recvkp7iSZl7dR"}] | 高温超导（HTS）紧凑型托卡马克、SPARC 实验堆、ARC 商业堆、高磁场等离子体约束、氚增殖包层、聚变发电系统 | ["暂无"] |  | 1000 |  | ["国外企业"] | 全球聚变私营企业龙头，高温超导托卡马克路线绝对领军者，与 MIT 合作开发 REBCO 高温超导磁体，目标 2030 年前实现商业并网发电，已与谷歌签订 200MW 购电协议（全球最大聚变 PPA |  | Commonwealth Fusion Systems, Inc |  | [{"id":"recvjYDkV9qXPO"},{"id":"recvjYDkV9X4gK"}] | ["美国"] | info@cfs.energy | 2018-05-10 00:00:00 |  | 70000000000 |
| recvk9ZmAnsyR8 | Helion Energy |  | 1230 Airport Rd, Everett, WA 98204, USA |  | [{"id":"recvk9U8egKXJw"},{"id":"recvk9U8egrOSd"},{"id":"recvk9U8eghBAR"},{"id":"recvlOL8wmqNUt"}] | [{"id":"recvjRRR09cfLT"},{"id":"recvjWLS5PYO7p"},{"id":"recvkiVxycqmGU"},{"id":"recvkiVxycLiK7"}] | [{"id":"recvk1TmXUIby6"},{"id":"recvk1TmXUHAD9"},{"id":"recvk1TmXUrAYr"},{"id":"recvk1YGDnwcxj"}] |  |  | [https://www.helionenergy.com](https://www.helionenergy.com/) |  |  |  | FRC 脉冲聚变、D-D/D-He3 聚变、磁压缩、直接能量转换、紧凑型聚变电厂 | ["暂无"] |  | 500 |  | ["国外企业"] | FRC 场反位形 + 脉冲磁惯性约束路线企业，主打 D-D/D-He3 燃料路径和直接能量转换；已宣布与微软签订 50MW 供电协议，示范机 Polaris 处于建设/调试阶段。 |  | Helion Energy, Inc |  | [{"id":"recvjYDkV9GKEb"},{"id":"recvkjzA6CkqlL"},{"id":"recvlOL8wf9zj6"}] | ["美国"] | [info@helionenergy.com](http://info@helionenergy.com) | 2013-05-01 00:00:00 |  | 37975000000 |
| recvk9ZmAn34Zo | Tokamak Energy |  | Harwell Campus, Didcot OX11 0RA, UK |  | [{"id":"recvk9U8egv2Ux"},{"id":"recvk9U8egdDlw"}] | [{"id":"recvjWMnwNH1XQ"},{"id":"recvjWMp8gemgX"},{"id":"recvkiVxycp0Xl"},{"id":"recvkiVxychnU1"},{"id":"recvkiVxycLC1Q"}] | [{"id":"recvkiVLpW9izN"},{"id":"recvkiVLpWyl8m"},{"id":"recvk1YGDnYnpt"}] |  |  | [https://tokamakenergy.co.uk](https://tokamakenergy.co.uk/) |  |  | [{"id":"recvkp7iSZuvg2"}] | 球形托卡马克（ST）、高温超导磁体、高 β 等离子体约束、聚变堆工程化 | ["暂无"] |  | 280 |  | ["国外企业"] | 球形托卡马克 + 高温超导路线开创者，英国聚变标杆企业，率先实现 1 亿℃等离子体温度，目标 2030 年代初商业发电。 |  | Tokamak Energy Ltd |  | [{"id":"recvjYDkV95vZu"}] | ["欧洲"] | [info@tokamakenergy.co.uk](http://info@tokamakenergy.co.uk) | 2009-05-14 00:00:00 |  | 10500000000 |
| recvk9ZmAnsYfO | TAE Technologies |  | 19600 Pauling Ave, Foothill Ranch, CA 92610, USA |  |  | [{"id":"recvjWNKvXWr68"},{"id":"recvkiVxycca73"},{"id":"recvkiVxyc2X8D"},{"id":"recvkiVxycuIbN"},{"id":"recvkiVxycXkTs"},{"id":"recvkiVxycMHF6"}] | [{"id":"recvkiVLpWsLJn"},{"id":"recvk1SGzPHB4x"},{"id":"recvk1YGDnkMch"},{"id":"recvk1YGDn0mEE"}] |  |  | [https://www.tae.com](https://www.tae.com/) |  |  |  | FRC 稳态约束、无中子聚变、高 β 等离子体、束流驱动聚变 | ["暂无"] |  | 400 |  | ["国外企业"] | 场反位形（FRC）+ 束流驱动路线，主打 p-B¹¹ 无中子聚变，全球聚变试验平台最多的私营企业。 |  | Tri Alpha Energy, Inc |  | [{"id":"recvjYDkV9baDt"},{"id":"recvjYDkV9J9wg"},{"id":"recvjYDkV9f6p1"},{"id":"recvjYDkV94XhD"}] | ["美国"] | [info@tae.com](http://info@tae.com) | 1998-05-30 00:00:00 |  | 42000000000 |
| recvk9ZmAnu1LQ | General Fusion |  | Richmond, British Columbia, Canada |  | [{"id":"recvk9U8egL4IK"},{"id":"recvlCNMeD4TEa"}] | [{"id":"recvk2GSYjwnWM"},{"id":"recvkiVxyc8RBC"},{"id":"recvkiVxycc46k"}] | [{"id":"recvk1TmXU1Act"}] |  |  | [https://generalfusion.com](https://generalfusion.com/) |  |  |  | 磁化靶聚变、脉冲压缩、液态金属壁、等离子体注入器、聚变工程化 | ["暂无"] |  | 150 |  | ["国外企业"] | 加拿大磁化靶聚变（MTF）企业，采用磁化等离子体与液态金属压缩路线，正在推进 LM26 示范装置。 |  | General Fusion Inc |  | [{"id":"recvjYDkV9XIsM"},{"id":"recvjYDkV9Hcps"},{"id":"recvlG3yNfVOJF"}] | ["加拿大"] | [info@generalfusion.com](http://info@generalfusion.com) | 2002-05-28 00:00:00 |  | 7200000000 |
| recvk9ZmAni7VX | Zap Energy |  | Seattle, Washington, USA |  | [{"id":"recvk9U8egxzyh"},{"id":"recvk9U8eg2sSh"}] | [{"id":"recvkiVxycZBTS"},{"id":"recvkiVxyc3Jon"},{"id":"recvkiVxyc4AhK"},{"id":"recvkiVxyc4Pcn"}] | [{"id":"recvk9W5vufmUB"},{"id":"recvk1YGDnYN6e"}] |  |  | [https://www.zap.energy](https://www.zap.energy/) |  |  |  | Z-Pinch 稳态聚变、剪切流稳定、紧凑型脉冲聚变装置 | ["暂无"] |  | 120 |  | ["国外企业"] | Z 箍缩 + 剪切流稳定路线，结构极简、成本最低的聚变路线之一，无需复杂超导磁体。 |  | Zap Energy, Inc |  | [{"id":"recvjYDkV9YdLO"},{"id":"recvjYDkV9OcDW"},{"id":"recvlG3BR9sWJw"}] | ["美国"] | info@zap.energy | 2017-06-09 00:00:00 |  | 4680000000 |
| recvk9ZmAnmbk9 | First Light Fusion |  | Oxford, United Kingdom |  |  |  | [{"id":"recvk9W5vuNYhx"}] |  |  | [https://firstlightfusion.com](https://firstlightfusion.com/) |  |  |  | 瞬态冲击聚变、靶丸设计、脉冲功率、惯性聚变发电 | ["暂无"] |  | 80 |  | ["国外企业"] | 惯性约束・高速弹丸撞击路线，全球唯一非激光惯性约束私营企业。 |  | First Light Fusion Ltd |  | [{"id":"recvkiWaas4Bsw"}] | ["欧洲"] | [info@firstlightfusion.com](http://info@firstlightfusion.com) | 2011-06-03 00:00:00 |  | 920000000 |
| recvk9ZmAnTgJt | Type One Energy |  | Knoxville, TN 37932, USA |  | [{"id":"recvk9U8egSopJ"},{"id":"recvk9U8egneNU"}] | [{"id":"recvkiVxyckWwK"},{"id":"recvkiVxycanhJ"},{"id":"recvkiVxycJ7m9"}] | [{"id":"recvk9W5vuoorw"},{"id":"recvk9W5vunYB7"}] |  |  | [https://www.typeoneenergy.com](https://www.typeoneenergy.com/) |  |  |  | 仿星器、准对称磁场、高温超导磁体、稳态聚变电厂、3D 线圈优化 | ["暂无"] |  | 70 |  | ["国外企业"] | 美国仿星器商业化企业，聚焦高温超导磁体、优化仿星器磁场和可工程化的稳态聚变电厂方案。 |  | Type One Energy Group Limited |  | [{"id":"recvjYDkV9FVGW"},{"id":"recvlG3OsZ4VjY"}] | ["美国"] | [info@typeoneenergy.com](http://info@typeoneenergy.com) | 2019-06-09 00:00:00 |  | 6525000000 |
