[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 融资名称 | 相关新闻 | 融资数额 | 交割日期 | 备注 | 融资单位 | 融资轮次 | 领投方 | 投后估值 | 跟投方 | 进度类型 | 融资负责人 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvjRS6NM0nGl | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjRS6NMkdPM | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjRS6NMARup | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjRS6NMVnZy | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjRS6NMn72L | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9Di2P | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9GdMr | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9viZ0 | _ |  |  |  | 占位-待清理 | [] |  |  |  |  |  |  |
| recvjYDkV9SBJT | _ |  |  |  | 占位-待清理 | [] |  |  |  |  |  |  |
| recvjYDkV9PLYq | _ |  |  |  | 占位-待清理 | [] |  |  |  |  |  |  |
| recvjYDkV9Gd9R | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV99H6a | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9r8RK | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9Qo5y | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9CBr1 | _ |  |  |  | 占位-待清理 |  |  |  |  |  |  |  |
| recvjYDkV9qXPO | CFS_B轮 |  | 超过18亿美元 | 2021-12-01 00:00:00 | 用于建设SPARC并推进ARC商业化。 | [{"id":"recvk9ZmAn8uc6"}] | ["B轮"] | [{"id":"recvjXfkQBYSqg"}] |  |  | ["交割完成"] |  |
| recvjYDkV9baDt | TAE Technologies_Series G-2 |  | 2.5亿美元 | 2022-07-19 00:00:00 | 公告称累计融资达12亿美元。 | [{"id":"recvk9ZmAnsYfO"}] | ["Series G-2"] |  |  |  | ["交割完成"] |  |
| recvjYDkV9XIsM | General Fusion_过桥/新融资 |  | 2200万美元 | 2025-08-21 00:00:00 | 用于支持LM26示范项目；背景是公司此前公开寻求资金。 | [{"id":"recvk9ZmAnu1LQ"}] | ["过桥/新融资"] |  |  |  | ["交割完成"] |  |
| recvjYDkV9HtYb | Pacific Fusion_A轮 | [{"id":"recvlCNIdxiZs1"}] | 超10亿美元 | 2024-10-25 00:00:00 | General Catalyst 领投，2026年6月3日宣布完成。原9亿美元承诺已全部到账并超额。 | [{"id":"recvk9ZmAncxid"}] | ["A轮"] | [{"id":"recvkiW31LXEdV"}] |  |  | ["交割完成"] |  |
| recvjYDkV9TxtU | Proxima Fusion_A轮 |  | 1.3亿欧元 | 2025-06-11 00:00:00 | 公告称为欧洲最大私营聚变投资轮之一，总资金超过1.85亿欧元。 | [{"id":"recvk9ZmAneH9R"}] | ["A轮"] |  |  |  | ["交割完成"] |  |
| recvjYDkV9X4gK | CFS_B++ |  | 8.63亿美元 | 2025-08-28 00:00:00 | 超额认购轮，无单一领投方；三井物产领衔的日本12家企业联合体参与，总体为多方联合投资。累计融资接近30亿美元。 | [{"id":"recvk9ZmAn8uc6"}] | ["B++"] |  |  |  | ["交割完成"] |  |
| recvjYDkV9GKEb | Helion Energy_Series F |  | 4.25亿美元 | 2025-01-28 00:00:00 | Reuters等报道估值约54亿美元。 | [{"id":"recvk9ZmAnsyR8"}] | ["Series F"] | [{"id":"recvkiW31LJFk3"}] | 约54亿美元 |  | ["交割完成"] |  |
