[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 论文标题 | 第一单位 | 期刊 | 论文点评 | 关联代码 | 关联度评分 | 第一作者 | 论文解析 | 论文摘要 | 通讯作者 | 发表时间 | 知识库 | 论文链接 | 关联装置 | 论文全文 | 价值评分 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| recvjRRNCL7goY | 聚变能源研究态势及展望 |  | [{"id":"recvk8rN4vJQ5j"}] | 彭先觉、李建刚、邓建军三位院士联合撰写的聚变能源战略综述，系统梳理了磁约束与Z箍缩两条技术路线的全球进展。文章指出能量平衡、氚自持、高可用率、耐辐照材料和经济性五大核心挑战，并提出Z-FFR作为中国特色的聚变能源方案。对于了解中国聚变能源战略布局具有重要参考价值。 |  | ["极高"] | [{"id":"recvk2G6vQ4Lot"}] |  | 聚变能源开发有望重塑未来能源发展格局，正处于突破工程能量“得失相当”的关键阶段，机遇与挑战并存。本文总结了聚变能源研究的主要进展，凝练了能量平衡尚未实现、氚自持尚未得到验证、实现高可利用率难度极高、耐辐照材料开发进展缓慢、使用经济性普遍较差等发展挑战。在梳理国际热核聚变实验堆（ITER）计划的共性基础技术突破、成员国配套研究的基础上，归纳了我国磁约束聚变研究的整体规划、自主项目部署、技术路线跟踪等方面的进展。进一步，围绕我国自主提出的Z箍缩聚变裂变混合堆（Z-FFR）概念，阐述了基本原理、应用优势、系列进展，提出了面向2040年实现商业化供能目标的发展规划，涵盖关键技术攻关、工程演示、商业发电推广等阶段的任务目标。为了全面推进我国聚变能源开发进程，建议在磁约束聚变方面深入参与ITER计划和相关国际合作，攻克商用聚变堆关键物理与工程技术，开展中国聚变工程实验堆（CFETR）主机关键部件研发并适时建设和运营CFETR；在Z-FFR方面，加快“电磁驱动大科学装置”建设，开展聚变能源关键技术攻关，推进Z-FFR工程演示和商业应用。 | [{"id":"recvk8rXSHnn1W"}] | 2024-04-10 00:00:00 | [彭先觉/李建刚/邓建军院士-聚变能源研究态势及展望](https://kcn3yl5e96jk.feishu.cn/wiki/Kp7owX6xKiNRzYkccS2ccpGNnYb) | [聚变能源研究态势及展望](https://www.engineering.org.cn/sscae/CN/10.15302/J-SSCAE-2024.04.005) |  | [{"file_token":"CsDqb7RLlodYaExoM6ach87entc","name":"聚变能源研究态势及展望.pdf","size":616711}] | ["极高"] |
| recvjRRNCLciQv | Electron temperature gradient driven turbulence |  | [{"id":"recvjSLzxMbRtn"}] | 聚变等离子体湍流输运领域的奠基性论文。首次通过大规模并行模拟揭示ETG湍流中流束结构的主导作用，颠覆了此前ETG湍流不重要的主流观点。被引超千次，是回旋动理学模拟的里程碑。 | [{"id":"rec27pSCprzhtA"}] | ["极高"] | [{"id":"recvkiVxycdKM4"}] |  | 通过大规模并行回旋动理学模拟，研究了环形等离子体中碰撞less电子温度梯度(ETG)驱动湍流。首次发现径向拉长的流束(streamers)可导致ETG模产生显著电子热输运，证实ETG湍流在托卡马克芯部输运中的重要性。 |  | 2000-05-01 00:00:00 |  | https://doi.org/10.1063/1.874051 |  |  | ["极高"] |
| recvjRRNCL7364 | The global version of the gyrokinetic turbulence code GENE |  | [{"id":"recvjSUgSUAvaD"}] |  | [{"id":"rec27pSCprzhtA"}] |  | [{"id":"recvkiVxycA72C"}] |  |  |  | 2011-08-01 00:00:00 |  | [https://doi.org/10.1016/j.jcp.2011.05.034](https://doi.org/10.1016/j.jcp.2011.05.034) |  |  |  |
| recvjRRNCLCHOM | Turbulent Transport Reduction by Zonal Flows: Massively Parallel Simulations |  |  | 发表在Science上的聚变等离子体物理里程碑论文。首次通过大规模并行回旋动理学模拟证实了带状流(zonal flows)对湍流输运的抑制机制，为ITER等装置的高约束模式(H-mode)物理理解奠定了理论基础。 | [{"id":"rec27pSCprzkXa"}] | ["极高"] | [{"id":"recvkiVxyczheS"}] |  | 利用大规模并行计算机进行三维回旋动理学模拟，研究磁约束环等离子体中微湍流。发现湍流驱动的涨落带状流(zonal flows)可显著降低湍流输运。全局与局域模拟中观察到的流动力学差异源于径向边界条件的不同处理。这是证实带状流抑制湍流输运的里程碑论文。 |  | 1998-09-18 00:00:00 |  | https://doi.org/10.1126/science.281.5384.1835 |  |  | ["极高"] |
| recvjRRNCLnP7U | Gyro-kinetic simulation of global turbulent transport properties in tokamak experiments |  | [{"id":"recvjSLzxMbRtn"}] |  | [{"id":"rec27pSCprzkXa"}] |  |  |  |  |  | 2006-09-01 00:00:00 |  |  |  |  |  |
| recvkp7B4DdTVy | DESC: A stellarator equilibrium solver |  | [{"id":"recvjSLzxMbRtn"}] | DESC是仿星器优化设计的重要工具。该论文介绍了基于三维MHD平衡求解的新型仿星器平衡代码，相比传统VMEC具有更快的计算速度和更高的精度，对W7-X等仿星器的优化设计具有重要工程价值。 | [{"id":"rec27pSCprznpI"}] | ["极高"] |  |  | 提出了一种新型仿星器三维MHD平衡求解器DESC，采用谱方法直接求解Grad-Shafranov方程的广义形式，避免了传统VMEC方法中假设磁面存在的限制，可处理磁岛和随机磁场区域。 |  | 2020-10-01 00:00:00 |  | https://doi.org/10.1017/S0022377820000938 |  |  | ["高"] |
| recvkp7B4DQ7kQ | The DESC stellarator code suite. Part 1. Quick and accurate equilibria computations |  | [{"id":"recvjSYGoYGJ3M"}] | DESC代码套件三部曲的首篇。系统对比了DESC与VMEC在计算速度与精度上的优势：DESC采用伪谱法直接求解三维MHD平衡，无需假设磁面存在，可处理磁岛和随机场区域。代表了仿星器平衡计算的新一代标准工具。 | [{"id":"rec27pSCprznpI"}] | ["极高"] |  |  | 作为DESC仿星器代码套件三部曲的首篇，系统介绍了DESC求解三维MHD平衡的理论基础和数值方法。DESC采用伪谱法求解力平衡方程，摆脱了传统VMEC对磁面的依赖，在计算速度、精度和鲁棒性上均有显著提升。 |  | 2023-06-01 00:00:00 |  | [https://doi.org/10.1017/S0022377823000861](https://doi.org/10.1017/S0022377823000861) |  |  | ["高"] |
| recvkp7B4D6NHt | Predictive transport simulations of T-15MD with TORAX |  |  | 利用Google DeepMind开发的TORAX输运模拟框架对俄罗斯T-15MD托卡马克进行预测性模拟，验证了基于JAX的快速集成模拟方法在现有托卡马克上的适用性。代表了AI/ML在聚变等离子体模拟中的新范式。 | [{"id":"rec27pSCprzpJn"}] | ["较高"] |  |  | 利用Google DeepMind开发的TORAX输运模拟框架，对俄罗斯T-15MD托卡马克装置进行预测性输运模拟，验证了基于JAX的快速集成模拟方法在现有装置上的适用性。 |  | 2024-06-10 00:00:00 |  | [https://doi.org/10.48550/arXiv.2406.06718](https://doi.org/10.48550/arXiv.2406.06718) |  |  | ["一般"] |
| recvkp7B4Dyzuc | Nonlinear electromagnetic gyrokinetic simulations of tokamak plasmas |  | [{"id":"recvjRRSIwjPg3"}] |  | [{"id":"rec27pSCprzrO0"}] |  |  |  |  |  | 2001-12-01 00:00:00 |  |  |  |  |  |
